sentiment,review_body,product_category
-1,Unfortunately this one is going back. the fit is very flattering and the underlying layer is very revealing in the back.,Blouses
-1,"I so wanted to love this tank  and was so excited to get it in the mail! i got a size small (my usual) and it ran so large i wasn't even sure an xs would've fit properly. the material looked lighter and blouse-y on the model  but in person is much thicker and sort of ""hangs"". underarms run large and are gaping from the body. i am sad to return this top because i love the color and idea of it  but it just can't work on me!",Blouses
-1,I bought both colors based on the reviews and really like the prints. however  they are too sheer. i don't want to wear a tank top  but you have to with these tops since they are so sheer. i can also see the fabric tearing easily  it is too delicate. i sent both colors back. what a waste because the prints and colors are good. these tops are also not for busty ladies. i have a big bust  and the top part didn't cover my entire bust and was awkward because the division between the fabrics would st,Blouses
-1,Very cute top. i went down a size because for me it was a little large in the back  but that was just my taste. i purchased the denim print.,Blouses
-1,This didn't work for me.  the piece looked cheap  rode very high...needed to be longer.  the piece looks incomplete for some reason to my eyes.  it also does not seem quality for an retailer piece.  this went back.,Blouses
-1,This is a great top but it is really big. i have a similar top from the same brand and the size small fits as expected. this top is easily 2 inches wider everywhere. i would love to exchange it for an extra small  but am afraid that even that size would be too large. the blue pattern is beautiful and the fabric is light and airy  which is perfect for warm days  but the size issue is out of control!,Blouses
-1,Cute top but started disintegrating after two washes. the delicate cutouts in the top tore apart. i machine washed it in the gentle cycle and didn't use the dryer. disappointed to have to discard the top after just buying it.,Blouses
-1,I saw this top online and ordered immediately!  i loved the color  lace  and unique details.  sadly it just arrived and it is a disaster!  the lace is stiff and doesn't lay softly  and is very rough against your skin.  the style ( and i like shorter style tops) is extremely boxy and the sleeves protrude outwards in a funny way. .....  that although i am so in love with this color  i would be embarrassed to wear this top in public.  it could have been fantastic  if the lace was softer  and some a,Blouses
-1,I absolutely loved this top. it fit great and was easy to dress up or down. i wore it once and washed it according to the tag. cold water and flat dry. it is now 4 sizes too small and unwearable. extremely disgusted.,Blouses
0,This top is beautiful to look at but did not fit me like the model. it was tight across the bust but very poofy at the bottom  which normally i like  but not this time. sad.,Blouses
0,First off  the other reviews are spot on regarding the quality of this top. the material is thick and pleasant feeling  the print is beautiful and the construction is nicely done. however  i just couldn't get past the fit issue  which was also mentioned by the other reviewers. i ordered a 14 for my 38 dd chest  and it was loose in all the wrong places. i'd be interested to see what a 12 looks like on me  but i'm afraid it would be too snug. this may look awesome on someone else  but i had to ret,Blouses
0,I love this blouse but my normal size didn't even come close to fitting me. i think i would have had to go 2 sizes up. too bad cause it is a beautiful top. not good for us busty girls though.,Blouses
0,The shirt is great except for the arms!! the band around the arms are tight and it makes the arm holes gape weirdly unless you are standing with your arms straight down by your side.,Blouses
0,I liked the quality of the top and the design. but when i got a top that fit well across the chest  it was shorter than i usually like my tops  so i will be returning it.,Blouses
0,According to the sizing chart i should be an 8 or 10. i ordered a 10  but i could not get the blouse zipped up around the ribcage  the one spot i don't keep any fat. i brought it to the store to exchange for a 12  but i couldn't breath with the 12 on. for reference i am 34ddd. it was the 34 part that didn't fit  the ddd would have fit fine  i think.,Blouses
0,I've been eyeing this top up in the floral pattern for a while and finally ordered it when i had 15% off. i really don't think it's worth the price and it's not very flattering. i think it would look better on someone less busty - it seemed to accent my bust. it's definitely not my favorite piece and unfortunately i will be returning.,Blouses
0,This is a beautiful beaded shirt. the quality seems good. i just didn't like the shoulders. they are pleated and puffy. the picture doesn't really show them very well. also the collar is a little floppy. i was hoping it would have an option to stand up but that is not the case. the beading is well done and looks to be stable. i just thought it ran a little large and the shoulders looked puffy. i returned it.,Blouses
0,I suppose i would have kept this top i hadn't been misled about the color. i don't like ecru or eggshell--  the description said it was black and white.,Blouses
1,My heart's a-flutter for this top. the fabric has an excellent weight and feel to it  and the little  fluttery cap sleeves are to die for. i've ordered this in almost every color because it is such a great staple. it is a gorgeous pairing with the marala knit skirt (especially in green ) and the double stripe jacquard skirt  but i'm certain it would be a perfect choice for any pencil skirt. it's so flattering and comfortable  with a neckline that is perfect for single strand pearls or similar le,Blouses
1,I ordered this in the lavender and love the rich color! looks great with my blonde hair. the bell sleeves  which are all the rage right now  add to the feminine look. i wore it with jeans and espadrilles for a fab boho look!,Blouses
1,I am loving this shirt. i thought it would look ridiculously long on me but it does not. for me this is a great substitute for the cloth & stone fringed plaid buttondown dress. it's definitely not a dress but is long enough to pull off the layered look of wearing a t-shirt and this on top. it will be a great piece for the fall given how incredibly soft and light weight it is. highly recommend.,Blouses
1,This blouse is gorgeous on i purchased at my local store i noticed it was $29.99 + 30% = $21.00 omg it's so nice on it's soft and comfortable and the gold threading make it sunning it does run a little small in the chest area,Blouses
1,"This tunic is a great way to wear the plaid trend right now without it being the traditional collared shirt. it's fun  comfortable and has great style. the first time i wore it i got tons of compliments! i'm 5'8"" and the back of the shirt goes to the back of my knees  i usually wear a size 12 and the large fit great!",Blouses
1,I snagged this top with the 25% off sale and it's adorable. i got the white  and it goes great with some skinny jeans or tucked into a skirt. i found it ran true to size. my only complaint is that like some other reviewers have stated  it does wrinkly very easily. and i would say for full price i don't think the quality is worth the cost  but on sale  it's a great shirt.,Blouses
1,Love this top for the fall. looks great with dark skinny jean and booties.,Blouses
1,I am most pleased with this tunic. purchased it in red. nice quality and very comfortable casual top. it has a flattering cut that isn't boxy for a long tunic so it's flattering. the weight of the fabric is substantial but not heavy or stiff so it doesn't add any bulk which is a bit slimming. it would work well for a wide variety of body types. i may buy the blue as well.,Blouses
1,I ordered the xl and the colors are just as pictured. the material is so soft. the problems: too short and too small. i'm a little over 5 ft. 5 inches and this top ran so short on me. i wish there were three more inches of material and then it would have been great. it was cut a little tight along the shoulder line too. i was so disappointed that this couldn't work on me. i like a romantic style  especially for comfortable basics. but  this was a pass for me. i had to return it. the ruffles on t,Blouses
-1,There is no way this is worth the price. i was deeply disappointed when it arrived. the material is thin and feels cheap. i love the design  and anna sui  but this is just so overpriced.,Dresses
